restaurant_name,price_level,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,food,service,atmosphere,excellent,location,last_certificate_excellence,cuisine_nation,meals
La Carbonera,€€-€€€,N,N,6.0,3.5,239,4.0,4.0,4.0,3,Caldes de Montbui,Certificate of Excellence 2016,Spanish,
La Rosa Restaurante,€,Y,N,6.0,4.5,199,4.0,4.5,,6,Caldes de Montbui,Certificate of Excellence 2020,Spanish,
Canfanga,€€-€€€,N,N,5.0,4.5,136,4.5,4.5,5.0,2,Caldes de Montbui,Certificate of Excellence 2018,Spanish,
Cafe del Centre,€€-€€€,Y,Y,6.0,4.5,272,4.5,4.5,,15,Caldes de Montbui,Certificate of Excellence 2020,Spanish,
Las Pizzas d'Herber,€,Y,N,5.0,4.5,212,4.5,4.5,,3,Caldes de Montbui,Certificate of Excellence 2019,Italian,
Pizzería Restaurant Rebato,€€-€€€,Y,Y,,4.5,135,4.5,4.5,4.0,1,Abrera,Certificate of Excellence 2018,Italian,
Ristorante El Italiano,€€-€€€,N,N,6.0,4.0,145,4.0,4.5,4.0,1,Sant Andreu de Llavaneres,Certificate of Excellence 2017,Italian,"Dinner, Lunch"
El Raco del Navegant,€€€€,Y,Y,6.0,4.0,213,4.0,4.0,4.0,3,Sant Andreu de Llavaneres,Certificate of Excellence 2016,Spanish,"Dinner, Lunch"
Restaurant Las Palmeras,€€-€€€,N,N,7.0,3.0,199,3.0,3.5,3.0,2,Sant Andreu de Llavaneres,,Spanish,"Dinner, Lunch"
Pins Mar,€€-€€€,N,Y,,4.0,347,4.0,3.5,4.0,3,Sant Andreu de Llavaneres,,Spanish,"Dinner, Lunch"
Can Jaume,€€-€€€,N,Y,7.0,4.0,205,4.0,4.0,3.5,4,Sant Andreu de Llavaneres,Certificate of Excellence 2019,Spanish,"Breakfast, Dinner, Lunch"
La Taverna del Port,€€-€€€,N,N,,4.0,190,4.0,4.0,4.0,4,Sant Andreu de Llavaneres,Certificate of Excellence 2018,Spanish,"Dinner, Lunch"
El Pou de Llavaneres,€€-€€€,N,N,5.0,3.5,104,3.5,3.5,3.5,1,Sant Andreu de Llavaneres,,Spanish,"Dinner, Lunch"
RESTAURANT XARED,€€-€€€,N,N,7.0,4.5,144,4.5,4.5,4.5,2,Sant Andreu de Llavaneres,,Spanish,"Dinner, Lunch"
Sekkei Sushi,€€€€,N,Y,,4.5,101,4.5,4.5,,1,Castellar del Valles,Certificate of Excellence 2020,Japanese,"Dinner, Lunch"
Restaurant Can Font,€€-€€€,Y,Y,6.0,4.5,141,4.5,5.0,4.5,4,Castellar del Valles,Certificate of Excellence 2019,Spanish,"Dinner, Lunch"
Restaurant Airesol,€€-€€€,N,Y,6.0,4.0,147,4.0,4.0,4.0,3,Castellar del Valles,Certificate of Excellence 2019,Spanish,"Dinner, Lunch"
Restaurant Mas Pineto,€€-€€€,N,N,5.0,4.0,170,4.0,3.5,3.0,1,Castellar del Valles,,Spanish,"Dinner, Lunch"
El Raco de la Tapa,€€-€€€,N,Y,6.0,4.5,116,4.0,4.5,,0,Castellar del Valles,Certificate of Excellence 2018,Spanish,"Dinner, Lunch"
Restaurant El Jardí,€€-€€€,Y,Y,6.0,4.5,151,4.5,4.5,4.5,4,Parets del Valles,Certificate of Excellence 2020,Spanish,
En Boca,€€-€€€,Y,Y,7.0,4.0,387,4.0,4.0,4.5,7,Parets del Valles,Certificate of Excellence 2017,Spanish,"Dinner, Lunch"
Pizzeria 1900 Parets,€€-€€€,N,N,7.0,2.5,169,3.5,3.0,,0,Parets del Valles,,Italian,
La Barca d'Adria,€€-€€€,N,N,2.0,3.5,106,3.5,3.0,3.0,6,Sant Adria de Besos,,Spanish,"Dinner, Lunch"
