"price_level","vegan_options","awards","gluten_free","cuisines","original_location","open_days_per_week","avg_rating","total_reviews_count","food","service","atmosphere","excellent","meals"
"medium","Y","Certificate of Excellence 2019","Y","European","Vallès Occidental",6,4,189,4.5,4.5,4.5,5,"LunchDinner"
"medium","N","Certificate of Excellence 2020","Y","European","NotFound",6,4,306,4,4,4,20,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","European","NotFound",5,4.5,209,5,4.5,4.5,9,"NoAnswer"
"medium","Y","Certificate of Excellence 2017","Y","European","NotFound",7,4,342,4,4,3.5,9,"LunchDinner"
"medium","Y","Not Awarded","Y","European","NotFound",6,4.5,257,4.5,4,4,11,"LunchDinner"
"medium","N","Certificate of Excellence 2020","Y","European","NotFound",5,4.5,406,4.5,4.5,4,48,"NoAnswer"
"medium","Y","Certificate of Excellence 2019","Y","European","NotFound",3,4.5,187,4.5,4.5,4.5,7,"AllMeals"
"medium","N","Certificate of Excellence 2017","N","European","NotFound",6,4,171,4,4,4,9,"AllMeals"
"medium","N","Certificate of Excellence 2020","Y","European","NotFound",2,4.5,701,4,4,4,7,"NoAnswer"
"medium","Y","Certificate of Excellence 2017","Y","European","NotFound",6,4,191,4,4,4,16,"LunchDinner"
"medium","Y","Certificate of Excellence 2020","Y","European","Maresme",7,4,186,4,4,4,1,"NoAnswer"
"medium","N","Certificate of Excellence 2020","Y","European","Maresme",NA,4.5,227,4.5,4,4,2,"LunchDinner"
"medium","N","Certificate of Excellence 2016","Y","Others","Maresme",6,4,118,4,4,4,4,"LunchDinner"
"medium","Y","Certificate of Excellence 2018","Y","European","Baix Llobregat",7,4.5,134,4.5,4,4,2,"NoAnswer"
"medium","N","Certificate of Excellence 2019","Y","European","Baix Llobregat",NA,4,114,4,4,4,1,"AllMeals"
"medium","N","Not Awarded","N","European","Vallès Occidental",7,3.5,223,4,3.5,3.5,1,"LunchDinner"
"medium","N","Not Awarded","N","European","Vallès Occidental",NA,3.5,106,4,4,4,1,"LunchDinner"
"medium","N","Not Awarded","N","European","Vallès Occidental",5,3.5,159,4,4,4,0,"LunchDinner"
