price_level,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,food,service,atmosphere,excellent,location,awards,cuisine,top_tag
€€-€€€,Y,Y,7.0,4.5,173,4.0,4.5,,16,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Italian,Mid-range
€€€€,N,Y,6.0,4.0,551,4.5,4.5,,43,Barcelona,"Certificate of Excellence 2019, Certificate of Excellence 2018",Seafood,Fine Dining
€€-€€€,N,N,6.0,4.0,163,4.5,4.5,4.5,12,Barcelona,"Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",Italian,Mid-range
€€-€€€,N,N,7.0,3.0,289,3.5,3.0,3.5,14,Barcelona,,Cafe,Mid-range
€€€€,Y,Y,5.0,4.0,150,4.0,4.0,,11,Barcelona,Certificate of Excellence 2019,Mediterranean,Fine Dining
€€-€€€,Y,N,7.0,4.0,125,4.5,4.5,,24,Barcelona,"Certificate of Excellence 2019, Certificate of Excellence 2018",Mexican,Mid-range
€€-€€€,N,N,,1.5,306,2.0,2.0,2.5,5,Barcelona,,Mediterranean,Mid-range
€,Y,Y,6.0,5.0,341,5.0,5.0,,127,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Cafe,Cheap Eats
€€-€€€,Y,Y,,4.5,112,4.5,4.5,,16,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mediterranean,Mid-range
€€-€€€,N,N,7.0,3.5,290,3.5,3.5,,35,Barcelona,,Seafood,Mid-range
€,N,N,,4.0,426,4.0,4.0,4.0,67,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018",Spanish,Cheap Eats
€€-€€€,N,N,7.0,5.0,228,5.0,5.0,,144,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mediterranean,Mid-range
€€-€€€,N,N,7.0,3.5,760,3.5,3.5,3.5,70,Barcelona,,Seafood,Mid-range
€€-€€€,N,Y,7.0,4.5,283,4.5,4.5,,36,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Japanese,Mid-range
€€-€€€,Y,Y,7.0,4.5,210,4.5,4.5,,30,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mexican,Mid-range
€€-€€€,Y,Y,7.0,4.5,604,4.5,4.5,,148,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Italian,Mid-range
€€-€€€,Y,Y,6.0,5.0,191,5.0,5.0,,35,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Italian,Mid-range
€€-€€€,N,N,,1.5,208,2.0,2.0,,4,Barcelona,,European,Mid-range
€€-€€€,Y,N,,4.5,233,4.5,4.5,,33,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Italian,Mid-range
€€-€€€,Y,N,7.0,4.0,199,4.5,4.5,,59,Barcelona,"Certificate of Excellence 2019, Certificate of Excellence 2018",Bar,Mid-range
€€-€€€,Y,Y,,4.5,261,4.5,4.5,,19,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Japanese,Mid-range
€€€€,N,N,7.0,4.0,597,4.0,4.0,4.0,79,Barcelona,,,Fine Dining
€€-€€€,Y,Y,5.0,5.0,953,5.0,5.0,,310,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mediterranean,Mid-range
€€-€€€,Y,Y,7.0,4.0,315,4.0,4.0,,116,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",European,Mid-range
€€-€€€,Y,Y,6.0,4.5,328,4.5,4.5,,53,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mediterranean,Mid-range
€€€€,Y,Y,6.0,4.5,279,5.0,5.0,,31,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mediterranean,Fine Dining
