"price_level";"vegan_options";"awards";"gluten_free";"cuisines";"original_location";"open_days_per_week";"avg_rating";"total_reviews_count";"food";"service";"atmosphere";"excellent";"meals"
"€€-€€€";"Y";"Certificate of Excellence 2019";"N";"Mediterranean, European, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";6;4;203;4;4;4.5;4;""
"€€€€";"N";"Certificate of Excellence 2020";"Y";"Mediterranean, Spanish, Contemporary";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";7;4;221;4.5;4;4;4;"Breakfast, Lunch, Dinner"
"€€-€€€";"N";"Certificate of Excellence 2020";"N";"Mediterranean, Spanish, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";6;4.5;140;4.5;4.5;4;4;""
"€€-€€€";"N";"Certificate of Excellence 2018";"Y";"Mediterranean, Spanish, Contemporary";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";3;4;105;4.5;4;4;0;"Breakfast, Lunch, Dinner"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, Spanish, Catalan, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";6;4;223;4.5;4.5;4.5;6;"Breakfast, Lunch, Dinner, Brunch, After-hours"
"€€-€€€";"Y";"Not Awarded";"Y";"Deli, Contemporary, Healthy, Gastropub, Bar, European, Pub";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";6;3.5;140;3.5;4;4.5;1;"Breakfast, Lunch, Dinner, Drinks, Brunch, After-hours"
"€€-€€€";"Y";"Certificate of Excellence 2015";"Y";"Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";6;4;150;4;4;4;1;""
"€€-€€€";"N";"Certificate of Excellence 2018";"N";"American";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";4;4;151;4;4;4.5;3;"Lunch"
"€€-€€€";"N";"Not Awarded";"N";"Italian, Pizza, Mediterranean";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";7;3.5;214;4;3.5;3.5;1;""
"€€-€€€";"Y";"Certificate of Excellence 2017";"N";"French";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";7;4;147;4;3.5;4;4;""
